Relative_Day,Aussie_Dollar,US_LNG_Leader,AUS_LNG_Leader
-5,0.003977536048060113,0.030065907732403287,0.02552984038881325
-4,0.007436849641804463,0.026924526474147836,0.0204919431681441
-3,0.007858047170190475,0.015978407895657087,0.034902002767254275
-2,0.0045970616774029995,0.014561843878135687,0.015096516427294262
-1,0.009534871387546075,0.034304257740108424,0.025366777412514713
0,0.008999498616347175,0.02936244697720271,0.02206225105883409
1,0.008554157697955488,0.033142794819936226,0.016496122389732738
2,0.0049849610181759,0.03339892522885569,0.01769991989041295
3,0.010298830850610813,0.03340721632850386,0.017656162003625887
4,0.008244155752104214,0.03542077295970762,0.01562987021980295
5,0.008623554046869188,0.019767470577935313,0.028244616207436214
